Title,Authors,Corporate Authors,Book Editors,Source Title,Publication Date,Volume,Conference Title,Conference Date,Total Citations,Average per Year,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Effect of natural exogenous antioxidants on aging and on neurodegenerative diseases,SALGADO CEBALLOS HERMELINDA,7,,FREE RADICAL RESEARCH,JUL 2013,47.0,,,83,6.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,8,10,12,7,8,9,8,8,2,1
Spontaneous long-term remyelination after traumatic spinal cord injury in rats,SALGADO CEBALLOS HERMELINDA,7,,BRAIN RESEARCH,JAN 26 1998,782.0,,,56,2.07,0,0,1,1,3,4,5,4,3,2,3,4,3,1,2,1,2,2,4,1,1,2,1,3,1,0,1,1,0
Inflammation: A Target for Treatment in Spinal Cord Injury,SALGADO CEBALLOS HERMELINDA,5,,CELLS,SEP 2022,11.0,,,50,16.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,30
Tissue spinal cord response in rats after implants of polypyrrole and polyethylene glycol obtained by plasma,SALGADO CEBALLOS HERMELINDA,11,,JOURNAL OF MATERIALS SCIENCE-MATERIALS IN MEDICINE,FEB 2008,19.0,,,49,2.88,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,3,1,3,7,2,2,5,1,3,4,2,3,1,4
"Antioxidant, Antiinflammatory and Antiapoptotic Effects of Dapsone in a Model of Brain Ischemia/Reperfusion in Rats",SALGADO CEBALLOS HERMELINDA,10,,JOURNAL OF NEUROSCIENCE RESEARCH,NOV 15 2008,86.0,,,48,2.82,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,2,3,4,3,5,4,2,2,4,2,5,4,4
The Importance of Natural Antioxidants in the Treatment of Spinal Cord Injury in Animal Models: An Overview,SALGADO CEBALLOS HERMELINDA,8,,OXIDATIVE MEDICINE AND CELLULAR LONGEVITY,NOV 12 2019,2019.0,,,40,6.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,7,15,11,5
"Efficacy and safety of 4-aminopyridine in patients with long-term spinal cord injury:: A randomized, double-blind, placebo-controlled trial",SALGADO CEBALLOS HERMELINDA,10,,PHARMACOTHERAPY,JUL 2003,23.0,,,39,1.77,0,0,0,0,0,0,0,1,4,4,2,4,2,2,4,3,2,1,2,0,1,0,0,0,1,2,2,0,2
Functional recovery in spinal cord injured rats using polypyrrole/iodine implants and treadmill training,SALGADO CEBALLOS HERMELINDA,12,,JOURNAL OF MATERIALS SCIENCE-MATERIALS IN MEDICINE,JUL 2015,26.0,,,29,2.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,4,2,5,4,4,4
Delayed Administration of Dapsone Protects From Tissue Damage and Improves Recovery After Spinal Cord Injury,SALGADO CEBALLOS HERMELINDA,8,,JOURNAL OF NEUROSCIENCE RESEARCH,MAR 2011,89.0,,,29,2.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,4,3,2,3,0,1,2,3,3,3,0
"Acute alterations of glutamate, glutamine, GABA, and other amino acids after spinal cord contusion in rats",SALGADO CEBALLOS HERMELINDA,7,,NEUROCHEMICAL RESEARCH,JAN 2007,32.0,,,28,1.56,0,0,0,0,0,0,0,0,0,0,0,1,1,0,3,2,2,2,4,0,1,0,1,0,3,3,2,2,1
Alteration of cyclosporin-A pharmacokinetics after experimental spinal cord injury,SALGADO CEBALLOS HERMELINDA,13,,JOURNAL OF NEUROTRAUMA,MAY 1996,13.0,,,26,0.9,1,1,0,1,1,0,0,1,1,2,3,2,2,0,0,5,2,0,0,1,0,2,0,0,0,0,0,1,0
Anti-Apoptotic Effects of Dapsone After Spinal Cord Injury in Rats,SALGADO CEBALLOS HERMELINDA,9,,NEUROCHEMICAL RESEARCH,JUN 2015,40.0,,,25,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,3,5,4,3,4,2
Anticonvulsive effect of vitamin C on pentylenetetrazol-induced seizures in immature rats,SALGADO CEBALLOS HERMELINDA,6,,PHARMACOLOGY BIOCHEMISTRY AND BEHAVIOR,DEC 2010,97.0,,,25,1.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,5,4,0,3,2,2,0,3,1,1
Early metabolic reactivation versus antioxidant therapy after a traumatic spinal cord injury in adult rats,SALGADO CEBALLOS HERMELINDA,11,,NEUROPATHOLOGY,FEB 2010,30.0,,,23,1.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,1,6,3,2,1,1,0,0,2,2,1,0
Plasma polypyrrole implants recover motor function in rats after spinal cord transection,SALGADO CEBALLOS HERMELINDA,14,,JOURNAL OF MATERIALS SCIENCE-MATERIALS IN MEDICINE,OCT 2012,23.0,,,22,1.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,3,2,1,2,4,1,2,3
Enteric glia promote regeneration of transected dorsal root axons into spinal cord of adult rats,SALGADO CEBALLOS HERMELINDA,8,,EXPERIMENTAL NEUROLOGY,MAY 2003,181.0,,,20,0.91,0,0,0,0,0,0,0,2,3,3,1,1,2,2,1,0,1,1,0,0,1,1,0,0,0,1,0,0,0
Electroacupuncture and Curcumin Promote Oxidative Balance and Motor Function Recovery in Rats Following Traumatic Spinal Cord Injury,SALGADO CEBALLOS HERMELINDA,9,,NEUROCHEMICAL RESEARCH,FEB 2019,44.0,,,17,2.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4,8,2,1
