Title,Authors,Corporate Authors,Book Editors,Source Title,Publication Date,Volume,Conference Title,Conference Date,Total Citations,Average per Year,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Giant magnetocaloric effect in melt-spun Ni-Mn-Ga ribbons with magneto-multistructural transformation,SANCHEZ VALDES CESAR FIDEL,7,,APPLIED PHYSICS LETTERS,JAN 27 2014,104,,,117,10.64,0,0,8,10,12,17,12,10,14,14,6,10,4
Phase transistion and magnetocaloric properties of Mn<sub>50</sub>Ni<sub>42-<i>x</i></sub>Co<sub><i>x</i></sub>Sn<sub>8</sub> (0 ≤ <i>x</i> ≤ 10) melt-spun ribbons,SANCHEZ VALDES CESAR FIDEL,10,,IUCRJ,JAN 2018,5,,,78,11.14,0,0,0,0,0,0,5,17,17,17,11,7,4
Tuning the Reversible Magnetocaloric Effect in Ni-Mn-In-Based Alloys through Co and Cu Co-Doping,SANCHEZ VALDES CESAR FIDEL,12,,ADVANCED ELECTRONIC MATERIALS,MAR 2019,5,,,73,12.17,0,0,0,0,0,0,0,3,17,22,15,12,4
Giant low-field magnetocaloric effect in Si alloyed Ni-Co-Mn-In alloys,SANCHEZ VALDES CESAR FIDEL,11,,SCRIPTA MATERIALIA,JAN 15 2019,159,,,71,11.83,0,0,0,0,0,0,0,7,20,19,14,6,5
Synthesis of silver nanoparticles by laser ablation in ethanol: A pulsed photoacoustic study,SANCHEZ VALDES CESAR FIDEL,9,,APPLIED SURFACE SCIENCE,NOV 15 2015,355,,,65,6.5,0,0,0,0,3,5,11,9,7,15,7,5,3
Giant and Reversible Inverse Barocaloric Effects near Room Temperature in Ferromagnetic MnCoGeB<sub>0.03</sub>,SANCHEZ VALDES CESAR FIDEL,10,,ADVANCED MATERIALS,SEP 2019,31,,,64,10.67,0,0,0,0,0,0,0,1,13,13,18,13,6
Microstructure and magnetocaloric effect of melt-spun Ni<sub>52</sub>Mn<sub>26</sub>Ga<sub>22</sub> ribbon,SANCHEZ VALDES CESAR FIDEL,7,,APPLIED PHYSICS LETTERS,APR 23 2012,100,,,59,4.54,1,2,8,4,5,7,8,3,4,7,2,6,2
Enhanced refrigerant capacity in Gd-Al-Co microwires with a biphase nanocrystalline/amorphous structure,SANCHEZ VALDES CESAR FIDEL,11,,APPLIED PHYSICS LETTERS,FEB 29 2016,108,,,48,5.33,0,0,0,0,1,3,11,11,5,8,5,2,2
Texture-induced enhancement of the magnetocaloric response in melt-spun DyNi<sub>2</sub> ribbons,SANCHEZ VALDES CESAR FIDEL,6,,APPLIED PHYSICS LETTERS,OCT 7 2013,103,,,47,3.92,0,1,3,5,7,4,7,3,4,3,2,5,3
Magnetocaloric effect in melt-spun MnCoGe ribbons,SANCHEZ VALDES CESAR FIDEL,6,,SCRIPTA MATERIALIA,AUG 2013,69,,,41,3.42,0,2,7,4,3,5,6,3,1,2,3,3,2
Enhanced refrigerant capacity in two-phase nanocrystalline/amorphous NdPrFe<sub>17</sub> melt-spun ribbons,SANCHEZ VALDES CESAR FIDEL,7,,APPLIED PHYSICS LETTERS,MAY 26 2014,104,,,40,3.64,0,0,0,4,6,7,8,4,1,5,1,1,3
On the correct estimation of the magnetic entropy change across the magneto-structural transition from the Maxwell relation: Study of MnCoGeB<sub>X</sub> alloy ribbons,SANCHEZ VALDES CESAR FIDEL,7,,JOURNAL OF ALLOYS AND COMPOUNDS,FEB 15 2017,694,,,38,4.75,0,0,0,0,0,7,9,5,5,7,1,3,1
Thermal and magnetic field-induced martensitic transformation in Ni<sub>50</sub>Mn<sub>25-<i>x</i></sub>Ga<sub>25</sub>Cu<i><sub>x</sub></i> (0 ≤ <i>x</i> ≤ 7) melt-spun ribbons,SANCHEZ VALDES CESAR FIDEL,10,,JOURNAL OF PHYSICS D-APPLIED PHYSICS,JAN 21 2016,49,,,36,4.0,0,0,0,0,1,7,4,6,4,6,3,4,1
The effect of cooling rate on magnetothermal properties of Fe<sub>49</sub>Rh<sub>51</sub>,SANCHEZ VALDES CESAR FIDEL,10,,JOURNAL OF MAGNETISM AND MAGNETIC MATERIALS,MAR 15 2020,498,,,32,6.4,0,0,0,0,0,0,0,0,10,10,7,3,2
