Title,Authors,Corporate Authors,Book Editors,Source Title,Publication Date,Volume,Conference Title,Conference Date,Total Citations,Average per Year,2021,2022,2023,2024
Electron transfer reactions in rhodamine: Potential use in photodynamic therapy,SANTOS CUEVAS CLARA LETICIA,9,,JOURNAL OF PHOTOCHEMISTRY AND PHOTOBIOLOGY A-CHEMISTRY,MAR 15 2021,409.0,,,9,2.25,1,4,3,1
A Multimodal Theranostic System Prepared from High-Density Lipoprotein Carrier of Doxorubicin and <SUP>177</SUP>Lu,SANTOS CUEVAS CLARA LETICIA,14,,JOURNAL OF BIOMEDICAL NANOTECHNOLOGY,NOV 2021,17.0,,,6,1.5,0,4,1,1
The Development and Validation of Radiopharmaceuticals Targeting Bacterial Infection,SANTOS CUEVAS CLARA LETICIA,19,,JOURNAL OF NUCLEAR MEDICINE,NOV 1 2023,64.0,,,5,2.5,0,0,0,5
An evaluation of the present status of quality assurance program implementation in digital mammography facilities in a developing country,SANTOS CUEVAS CLARA LETICIA,7,,JOURNAL OF RADIOLOGICAL PROTECTION,DEC 1 2022,42.0,,,4,1.33,0,0,2,2
Tomographic <SUP>99m</SUP>Tc radioactivity quantification in three-dimensional printed polymeric phantoms with bioinspired geometries,SANTOS CUEVAS CLARA LETICIA,5,,RADIATION PHYSICS AND CHEMISTRY,DEC 2020,177.0,,,3,0.6,1,1,1,0
Targeted photodynamic therapy using reconstituted high-density lipoproteins as rhodamine transporters,SANTOS CUEVAS CLARA LETICIA,11,,PHOTODIAGNOSIS AND PHOTODYNAMIC THERAPY,MAR 2022,37.0,,,2,0.67,0,1,1,0
PAM-based hydrogels characterization as a potential biomaterial for mammography QC-phantoms development,SANTOS CUEVAS CLARA LETICIA,7,,INTERNATIONAL JOURNAL OF POLYMERIC MATERIALS AND POLYMERIC BIOMATERIALS,,,,,0,0.0,0,0,0,0
"Molecular imaging of fibroblast activity after acute myocardial infarct using 99mTc-iFAP: Comparison with cardiac magnetic resonance, myocardial perfusion imaging and invasive coronary angiography.",SANTOS CUEVAS CLARA LETICIA,9,,JOURNAL OF NUCLEAR MEDICINE,JUN 1 2023,64.0,55th Annual Conference of the Society-of-Nuclear-Medicine (SNMICON),"NOV 16-19, 2023",0,0.0,0,0,0,0
Output feedback robust disturbance rejection tracking control design for a bipedal robotic system with articulation constraints,SANTOS CUEVAS CLARA LETICIA,4,,PROCEEDINGS OF THE INSTITUTION OF MECHANICAL ENGINEERS PART I-JOURNAL OF SYSTEMS AND CONTROL ENGINEERING,JUL 2021,235.0,,,0,0.0,0,0,0,0
"Preclinical Biokinetic Modelling of Tc-99m Radiophamaceuticals Obtained from Semi-Automatic Image Processing (vol 37, pg 887, 2017)",SANTOS CUEVAS CLARA LETICIA,6,,JOURNAL OF MEDICAL AND BIOLOGICAL ENGINEERING,JUN 2020,40.0,,,0,0.0,0,0,0,0
Synthesis and preclinical evaluation of the <SUP>99m</SUP>Tc-Bombesin-Folate heterobivalent peptide for simultaneous imaging of folate and gastrin-releasing peptide receptors,SANTOS CUEVAS CLARA LETICIA,7,,JOURNAL OF LABELLED COMPOUNDS & RADIOPHARMACEUTICALS,MAY 15 2015,58.0,,,0,0.0,0,0,0,0
Two Novel Nanosized Radiolabeled Analogues of Somatostatin for Neuroendocrine Tumor Imaging,SANTOS CUEVAS CLARA LETICIA,6,,JOURNAL OF LABELLED COMPOUNDS & RADIOPHARMACEUTICALS,MAY 15 2015,58.0,,,0,0.0,0,0,0,0
