Title,Authors,Corporate Authors,Book Editors,Source Title,Publication Date,Volume,Conference Title,Conference Date,Total Citations,Average per Year,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
"Bound phenolics in foods, a review","SERNA SALDIVAR, SERGIO ROMAN OTHON",3,,FOOD CHEMISTRY,JUN 1 2014,152.0,,,786,71.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,27,50,61,78,91,101,112,106,101,52
"Effect of processing on the phytochemical profiles and antioxidant activity of corn for production of masa, tortillas, and tortilla chips","SERNA SALDIVAR, SERGIO ROMAN OTHON",3,,JOURNAL OF AGRICULTURAL AND FOOD CHEMISTRY,MAY 16 2007,55.0,,,197,10.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,8,9,11,14,10,17,11,17,12,14,24,15,13,9,6
"Phenolic Composition, Antioxidant Capacity and In Vitro Cancer Cell Cytotoxicity of Nine Prickly Pear (Opuntia spp.) Juices","SERNA SALDIVAR, SERGIO ROMAN OTHON",3,,PLANT FOODS FOR HUMAN NUTRITION,JUN 2009,64.0,,,149,9.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,9,8,9,11,11,7,10,10,13,8,7,18,15,5
Phenolic content and antioxidant activity of tortillas produced from pigmented maize processed by conventional nixtamalization or extrusion cooking,"SERNA SALDIVAR, SERGIO ROMAN OTHON",6,,JOURNAL OF CEREAL SCIENCE,NOV 2010,52.0,,,145,9.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,13,16,10,17,11,14,15,13,11,7,6,4
Polyphenolic and antioxidant content of white and blue corn (<i>Zea mays</i> L.) products,"SERNA SALDIVAR, SERGIO ROMAN OTHON",4,,FOOD RESEARCH INTERNATIONAL,2006,39.0,,,142,7.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,6,8,9,7,6,9,10,11,16,6,6,13,8,9,7,5,3
Inactivation Methods of Trypsin Inhibitor in Legumes: A Review,"SERNA SALDIVAR, SERGIO ROMAN OTHON",3,,JOURNAL OF FOOD SCIENCE,JAN 2018,83.0,,,130,18.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8,19,22,26,34,17
Microwave and Ultrasound to Enhance Protein Extraction from Peanut Flour under Alkaline Conditions: Effects in Yield and Functional Properties of Protein Isolates,"SERNA SALDIVAR, SERGIO ROMAN OTHON",4,,FOOD AND BIOPROCESS TECHNOLOGY,MAR 2017,10.0,,,120,15.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,8,11,18,33,22,20
Bioactive Peptides and Hydrolysates from Pulses and Their Potential Use as Functional Ingredients,"SERNA SALDIVAR, SERGIO ROMAN OTHON",3,,JOURNAL OF FOOD SCIENCE,MAR 2014,79.0,,,113,10.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,6,18,4,12,12,15,25,11,2
"Dietary Fiber Concentrates from Fruit and Vegetable By-products: Processing, Modification, and Application as Functional Ingredients","SERNA SALDIVAR, SERGIO ROMAN OTHON",4,,FOOD AND BIOPROCESS TECHNOLOGY,AUG 2018,11.0,,,98,14.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,18,18,29,25,4
Nutritional composition and nutraceutical properties of the <i>Pleurotus</i> fruiting bodies: Potencial use as food ingredient,"SERNA SALDIVAR, SERGIO ROMAN OTHON",3,,JOURNAL OF FOOD COMPOSITION AND ANALYSIS,MAY 2017,58.0,,,94,11.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,11,17,14,21,10,11
Phenolic-Protein Interactions: Effects on Food Properties and Health Benefits,"SERNA SALDIVAR, SERGIO ROMAN OTHON",3,,JOURNAL OF MEDICINAL FOOD,FEB 2018,21.0,,,93,13.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,11,19,24,24,7
"Characterization and quantification of saponins and flavonoids in sprouts, seed coats and cotyledons of germinated black beans","SERNA SALDIVAR, SERGIO ROMAN OTHON",5,,FOOD CHEMISTRY,OCT 1 2012,134.0,,,89,6.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,7,6,12,6,8,4,6,10,13,6
Evaluation of bioethanol production from five different varieties of sweet and forage sorghums (<i>Sorghum bicolor</i> (L) Moench),"SERNA SALDIVAR, SERGIO ROMAN OTHON",5,,INDUSTRIAL CROPS AND PRODUCTS,MAY 2011,33.0,,,88,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,10,7,11,8,9,8,9,9,1,2,6,4
Evaluation of the antioxidant and antiproliferative activities of extracted saponins and flavonols from germinated black beans (<i>Phaseolus</i> <i>vulgaris</i> L.),"SERNA SALDIVAR, SERGIO ROMAN OTHON",3,,FOOD CHEMISTRY,NOV 15 2013,141.0,,,86,7.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,8,9,12,11,7,8,4,7,10,3
