Title,Authors,Corporate Authors,Book Editors,Source Title,Publication Date,Volume,Conference Title,Conference Date,Total Citations,Average per Year,1996,2008,2017,2018,2019,2020,2021,2022,2023,2024
Chitosan-Starch Films Modified with Natural Extracts to Remove Heavy Oil from Water,SUAREZ DOMINGUEZ EDGARDO JONATHAN,9,,WATER,JAN 2020,12.0,,,10,2.0,0,0,0,0,0,1,3,3,1,2
Compressed earth block reinforced with coconut fibers and stabilized with aloe vera and lime,SUAREZ DOMINGUEZ EDGARDO JONATHAN,6,,JOURNAL OF ENGINEERING DESIGN AND TECHNOLOGY,JUN 7 2021,19.0,,,9,1.8,0,0,0,0,0,0,2,0,6,1
Modification of the viscosity of extra-heavy crude oil using aqueous extracts of common geranium (<i>Pelargonium hortorum</i>),SUAREZ DOMINGUEZ EDGARDO JONATHAN,7,,JOURNAL OF PETROLEUM SCIENCE AND ENGINEERING,AUG 2022,215.0,,,7,2.33,0,0,0,0,0,0,0,1,4,2
Pyrrolyl-Silicon Compounds as Precursors for Donor-Acceptor Systems Stabilized by Noncovalent Interactions,SUAREZ DOMINGUEZ EDGARDO JONATHAN,5,,JOURNAL OF PHYSICAL CHEMISTRY A,JUL 9 2015,119.0,,,7,0.7,0,0,3,2,0,1,0,0,1,0
COMPRESSED EARTH BLOCKS (CEB) STABILIZED WITH LIME AND CEMENT. EVALUATION OF BOTH THEIR ENVIRONMENTAL IMPACT AND COMPRESSIVE STRENGTH,SUAREZ DOMINGUEZ EDGARDO JONATHAN,4,,REVISTA HABITAT SUSTENTABLE,DEC 2020,10.0,,,6,1.2,0,0,0,0,0,0,0,3,3,0
Evaluation of surface tension modifiers for crude oil transport through porous media,SUAREZ DOMINGUEZ EDGARDO JONATHAN,5,,JOURNAL OF PETROLEUM SCIENCE AND ENGINEERING,SEP 2020,192.0,,,6,1.2,0,0,0,0,0,0,2,2,0,2
Water-In-Oil Emulsions through Porous Media and the Effect of Surfactants: Theoretical Approaches,SUAREZ DOMINGUEZ EDGARDO JONATHAN,5,,PROCESSES,SEP 2019,7.0,,,6,1.0,0,0,0,0,0,1,1,2,1,1
A viscosity bio-reducer for extra-heavy crude oil,SUAREZ DOMINGUEZ EDGARDO JONATHAN,6,,PETROLEUM SCIENCE AND TECHNOLOGY,2018,36.0,,,6,0.86,0,0,0,0,2,1,0,2,0,1
Extra heavy crude oil viscosity and surface tension behavior using a flow enhancer and water at different temperatures conditions,SUAREZ DOMINGUEZ EDGARDO JONATHAN,7,,HELIYON,FEB 2023,9.0,,,5,2.5,0,0,0,0,0,0,0,0,1,4
Mesoscopic model for the surface fractal dimension estimation of solid-solid and gas-solid dispersed systems,SUAREZ DOMINGUEZ EDGARDO JONATHAN,5,,SURFACES AND INTERFACES,MAR 2020,18.0,,,4,0.8,0,0,0,0,0,1,0,2,1,0
Determining the carbon footprint for a new earthen-based finish,SUAREZ DOMINGUEZ EDGARDO JONATHAN,2,,INTERNATIONAL JOURNAL OF LOW-CARBON TECHNOLOGIES,FEB 2020,15.0,,,4,0.8,0,0,0,0,0,1,1,0,1,1
NEW MIXING RULE FOR ANALYSIS OF THE INFLUENCE OF A FORMULATION ON AN EXTRAHEAVY OIL CRUDE VISCOSITY,SUAREZ DOMINGUEZ EDGARDO JONATHAN,4,,REVISTA MEXICANA DE INGENIERIA QUIMICA,APR 2018,17.0,,,4,0.57,0,0,0,1,1,1,1,0,0,0
"Comparison of housing construction systems in the huasteca zone: Vernacular, industrialized and hybrid. Study cases",SUAREZ DOMINGUEZ EDGARDO JONATHAN,4,,CASE STUDIES IN CONSTRUCTION MATERIALS,DEC 2020,13.0,,,3,0.6,0,0,0,0,0,0,1,2,0,0
Study of the precipitation trend of asphaltenes and waxes in crude oil using computational chemistry and statistical thermodynamics methods,SUAREZ DOMINGUEZ EDGARDO JONATHAN,7,,RESULTS IN ENGINEERING,MAR 2024,21.0,,,2,1.0,0,0,0,0,0,0,0,0,0,2
Molecular interactions between heavy crude oil and a flow enhancer in a pipeline for pressure drop reduction,SUAREZ DOMINGUEZ EDGARDO JONATHAN,6,,COLLOIDS AND SURFACES A-PHYSICOCHEMICAL AND ENGINEERING ASPECTS,OCT 20 2021,627.0,,,2,0.5,0,0,0,0,0,0,0,2,0,0
Effect of natural additives on concrete mechanical properties,SUAREZ DOMINGUEZ EDGARDO JONATHAN,6,,COGENT ENGINEERING,JAN 1 2021,8.0,,,2,0.5,0,0,0,0,0,0,2,0,0,0
Stochastic modeling of asphaltenes deposition and prediction of its influence on friction pressure drop,SUAREZ DOMINGUEZ EDGARDO JONATHAN,5,,PETROLEUM SCIENCE AND TECHNOLOGY,NOV 2 2018,36.0,,,2,0.29,0,0,0,0,1,0,0,1,0,0
Stochastic analysis of the fractal dimension in thin-layter electroplating zinc,SUAREZ DOMINGUEZ EDGARDO JONATHAN,5,,REVISTA MEXICANA DE FISICA,SEP-OCT 2013,59.0,,,2,0.17,0,0,0,0,1,1,0,0,0,0
Effect of Processing Routes on Physical and Mechanical Properties of Advanced Cermet System,SUAREZ DOMINGUEZ EDGARDO JONATHAN,6,,CERAMICS-SWITZERLAND,JUN 2024,7.0,,,1,1.0,0,0,0,0,0,0,0,0,0,1
"About the comfort of house-buildings with earth walls in San Carlos, Tamaulipas",SUAREZ DOMINGUEZ EDGARDO JONATHAN,7,,COGENT ENGINEERING,DEC 31 2022,9.0,,,1,0.33,0,0,0,0,0,0,0,1,0,0
CLAY-SAND WETTABILITY EVALUATION FOR HEAVY CRUDE OIL MOBILITY,SUAREZ DOMINGUEZ EDGARDO JONATHAN,5,,CHEMISTRY & CHEMICAL TECHNOLOGY,2022,16.0,,,1,0.33,0,0,0,0,0,0,0,0,0,1
Flow pattern effect on the pressure drop of biphasic flow through porous media from a fractal dimension perspective,SUAREZ DOMINGUEZ EDGARDO JONATHAN,4,,CIENCIAUAT,JAN-JUN 2020,14.0,,,1,0.2,0,0,0,0,0,0,0,1,0,0
Effect of a viscosity reducer on liquid-liquid flow: III. Partial mixing on the interface,SUAREZ DOMINGUEZ EDGARDO JONATHAN,5,,PETROLEUM SCIENCE AND TECHNOLOGY,2018,36.0,,,1,0.14,0,0,0,0,0,1,0,0,0,0
EFFECT OF A VISCOSITY REDUCER IN A LIQUID-LIQUID FLOW: II UNSTEADY STATE ANNULAR MODEL IN A PIPELINE,SUAREZ DOMINGUEZ EDGARDO JONATHAN,6,,REVISTA MEXICANA DE INGENIERIA QUIMICA,DEC 2016,15.0,,,1,0.11,0,0,0,1,0,0,0,0,0,0
Mechanisms of bands and spirals formation during the drying of watery solutions of mercury (II) chloride with agar-agar,SUAREZ DOMINGUEZ EDGARDO JONATHAN,2,"Pisarchik, AN",INTERNATIONAL CONFERENCE ON CONTROL AND SYNCHRONIZATION OF DYNAMICAL SYSTEMS (CSDS-2005),2005,23.0,International Conference on Control and Synchronization of Dynamical Systems,"OCT 04-07, 2005",1,0.05,0,1,0,0,0,0,0,0,0,0
Morphological variety in crystal growth of mercury (II) chloride on Agar slides,SUAREZ DOMINGUEZ EDGARDO JONATHAN,2,"Novak, MM",THINKING IN PATTERNS: FRACTALS AND RELATED PHENOMENA IN NATURE,2004,,8th International Conference on Thinking in Patterns -Fractals and Related Phenomena in Nature,"APR 04-07, 2004",1,0.05,0,1,0,0,0,0,0,0,0,0
PANCREAS DIVISUM - INCIDENCE IN OUR MEDIUM,SUAREZ DOMINGUEZ EDGARDO JONATHAN,6,,REVISTA ESPANOLA DE LAS ENFERMEDADES DEL APARATO DIGESTIVO,1981,59.0,,,1,0.02,1,0,0,0,0,0,0,0,0,0
A STUDY OF THE FORMAL ARCHITECTURAL SCULPTURAL CHACTERISTICS OF OF EL TAJIN,SUAREZ DOMINGUEZ EDGARDO JONATHAN,3,,CONSERVATION SCIENCE IN CULTURAL HERITAGE,2019,19.0,,,0,0.0,0,0,0,0,0,0,0,0,0,0
High-resolution Anorectal Manometry Findings in Dyssynergic Defecation,SUAREZ DOMINGUEZ EDGARDO JONATHAN,5,,AMERICAN JOURNAL OF GASTROENTEROLOGY,OCT 2016,111.0,81st Annual Scientific Meeting of the American-College-of-Gastroenterology,"OCT 21-26, 2016",0,0.0,0,0,0,0,0,0,0,0,0,0
RIGOROUS ANALYTICAL SOLUTION OF THE BASIC CONCENTRATION MODEL FOR AN INJECTED FLUID IN A PIPE,SUAREZ DOMINGUEZ EDGARDO JONATHAN,5,,CT&F-CIENCIA TECNOLOGIA Y FUTURO,JUL-DEC 2016,6.0,,,0,0.0,0,0,0,0,0,0,0,0,0,0
"Efficient bulky phosphines for the selective telomerization of 1,3-butadiene with methanol",SUAREZ DOMINGUEZ EDGARDO JONATHAN,7,,ABSTRACTS OF PAPERS OF THE AMERICAN CHEMICAL SOCIETY,MAR 21 2010,239.0,,,0,0.0,0,0,0,0,0,0,0,0,0,0
"Postoperative Achalasia, As an Antireflux Surgery Complication",SUAREZ DOMINGUEZ EDGARDO JONATHAN,5,,GASTROINTESTINAL ENDOSCOPY,APR 2006,63.0,,,0,0.0,0,0,0,0,0,0,0,0,0,0
ESOPHAGITIS BY VIRUS OF THE SIMPLE HERPES IN A PREVIOUSLY HEALTHY PERSON,SUAREZ DOMINGUEZ EDGARDO JONATHAN,7,,REVISTA ESPANOLA DE LAS ENFERMEDADES DEL APARATO DIGESTIVO,1981,60.0,,,0,0.0,0,0,0,0,0,0,0,0,0,0
