Title,Authors,Corporate Authors,Book Editors,Source Title,Publication Date,Volume,Conference Title,Conference Date,Total Citations,Average per Year,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Offshore Wind Farm Grid Integration by VSC Technology With LCC-Based HVDC Transmission,TORRES OLGUIN RAYMUNDO ENRIQUE,3,,IEEE TRANSACTIONS ON SUSTAINABLE ENERGY,OCT 2012,3.0,,,102,7.85,0,0,0,0,0,3,6,8,12,8,13,15,14,9,6,4,4
A repetitive-based controller for the compensation of 6l±1 harmonic components,TORRES OLGUIN RAYMUNDO ENRIQUE,5,,IEEE TRANSACTIONS ON INDUSTRIAL ELECTRONICS,AUG 2008,55.0,,,102,6.0,0,5,2,4,6,15,11,10,9,3,13,4,4,8,6,1,1
Integration of Offshore Wind Farm Using a Hybrid HVDC Transmission Composed by the PWM Current-Source Converter and Line-Commutated Converter,TORRES OLGUIN RAYMUNDO ENRIQUE,4,,IEEE TRANSACTIONS ON ENERGY CONVERSION,MAR 2013,28.0,,,71,5.92,0,0,0,0,0,0,4,1,10,11,7,6,9,8,5,7,3
A model-based controller for a three-phase four-wire shunt active filter with compensation of the neutral line current,TORRES OLGUIN RAYMUNDO ENRIQUE,4,,IEEE TRANSACTIONS ON POWER ELECTRONICS,NOV 2007,22.0,,,34,1.89,1,4,2,2,2,1,3,0,1,3,6,3,2,2,1,1,0
Optimal Power Flow in Multiterminal HVDC Systems Considering DC/DC Converters,TORRES OLGUIN RAYMUNDO ENRIQUE,3,,PROCEEDINGS 2016 IEEE 25TH INTERNATIONAL SYMPOSIUM ON INDUSTRIAL ELECTRONICS (ISIE),2016,,25th IEEE International Symposium on Industrial Electronics (ISIE),"JUN 08-10, 2016",28,3.11,0,0,0,0,0,0,0,0,0,0,2,6,10,4,3,2,1
Effect of Reactive Power Characteristic of Offshore Wind Power Plant on Low-Frequency Stability,TORRES OLGUIN RAYMUNDO ENRIQUE,4,,IEEE TRANSACTIONS ON ENERGY CONVERSION,JUN 2020,35.0,,,27,5.4,0,0,0,0,0,0,0,0,0,0,0,0,4,5,5,9,4
A Gray-Box Hierarchical Oscillatory Instability Source Identification Method of Multiple-Inverter-Fed Power Systems,TORRES OLGUIN RAYMUNDO ENRIQUE,4,,IEEE JOURNAL OF EMERGING AND SELECTED TOPICS IN POWER ELECTRONICS,JUN 2021,9.0,,,25,6.25,0,0,0,0,0,0,0,0,0,0,0,0,1,1,7,8,8
Inverse time overcurrent protection scheme for fault location in multi-terminal HVDC,TORRES OLGUIN RAYMUNDO ENRIQUE,2,,2015 IEEE EINDHOVEN POWERTECH,2015,,"PowerTech, 2015 IEEE Eindhoven","JUN 29-JUL 02, 2015",18,1.8,0,0,0,0,0,0,0,0,0,1,1,4,4,4,1,3,0
Harmonic Virtual Impedance Design for Optimal Management of Power Quality in Microgrids,TORRES OLGUIN RAYMUNDO ENRIQUE,4,,IEEE TRANSACTIONS ON POWER ELECTRONICS,SEP 2021,36.0,,,17,4.25,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,9,3
A Robust Circuit and Controller Parameters' Identification Method of Grid-Connected Voltage-Source Converters Using Vector Fitting Algorithm,TORRES OLGUIN RAYMUNDO ENRIQUE,7,,IEEE JOURNAL OF EMERGING AND SELECTED TOPICS IN POWER ELECTRONICS,JUN 2022,10.0,10th International Conference on Power Electronics and ECCE Asia (ICPE - ECCE Asia),"MAY 27-31, 2019",14,4.67,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,7,4
