Title,Authors,Corporate Authors,Book Editors,Source Title,Publication Date,Volume,Conference Title,Conference Date,Total Citations,Average per Year,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
A shear gradient-dependent platelet aggregation mechanism drives thrombus formation,TOVAR LOPEZ FRANCISCO JAVIER,9,,NATURE MEDICINE,JUN 2009,15.0,,,647,40.44,3,32,37,46,58,44,47,41,49,48,48,57,56,33,29,18
A microfluidics device to monitor platelet aggregation dynamics in response to strain rate micro-gradients in flowing blood,TOVAR LOPEZ FRANCISCO JAVIER,7,,LAB ON A CHIP,2010,10.0,,,108,7.2,0,3,7,7,11,6,9,10,6,5,10,10,11,4,6,3
Differential microwave sensor for characterization of glycerol-water solutions,TOVAR LOPEZ FRANCISCO JAVIER,4,,SENSORS AND ACTUATORS B-CHEMICAL,OCT 15 2020,321.0,,,81,16.2,0,0,0,0,0,0,0,0,0,0,0,1,26,19,22,13
A Microfluidic System for Studying the Effects of Disturbed Flow on Endothelial Cells,TOVAR LOPEZ FRANCISCO JAVIER,7,,FRONTIERS IN BIOENGINEERING AND BIOTECHNOLOGY,APR 17 2019,7.0,,,71,11.83,0,0,0,0,0,0,0,0,0,0,5,9,16,8,16,17
Dielectrophoretic manipulation and separation of microparticles using curved microelectrodes,TOVAR LOPEZ FRANCISCO JAVIER,7,,ELECTROPHORESIS,NOV 2009,30.0,,,63,3.94,0,9,14,7,5,7,3,1,1,2,7,2,2,1,1,1
Shear stress mediates exocytosis of functional TRPV4 channels in endothelial cells,TOVAR LOPEZ FRANCISCO JAVIER,6,,CELLULAR AND MOLECULAR LIFE SCIENCES,FEB 2016,73.0,,,61,6.78,0,0,0,0,0,0,0,5,8,7,12,7,7,3,5,7
Dielectrophoretic-activated cell sorter based on curved microelectrodes,TOVAR LOPEZ FRANCISCO JAVIER,7,,MICROFLUIDICS AND NANOFLUIDICS,AUG 2010,9.0,,,53,3.53,0,5,11,5,6,11,3,3,2,1,3,3,0,0,0,0
Dielectrophoretic separation of carbon nanotubes and polystyrene microparticles,TOVAR LOPEZ FRANCISCO JAVIER,6,,MICROFLUIDICS AND NANOFLUIDICS,NOV 2009,7.0,,,53,3.31,0,5,7,6,8,5,7,1,2,1,4,2,2,0,1,2
On-chip separation of Lactobacillus bacteria from yeasts using dielectrophoresis,TOVAR LOPEZ FRANCISCO JAVIER,7,,MICROFLUIDICS AND NANOFLUIDICS,JAN 2012,12.0,,,46,3.54,0,0,0,3,6,3,6,4,6,2,6,5,1,1,2,1
Shear-sensitive nanocapsule drug release for site-specific inhibition of occlusive thrombus formation,TOVAR LOPEZ FRANCISCO JAVIER,15,,JOURNAL OF THROMBOSIS AND HAEMOSTASIS,MAY 2017,15.0,,,44,5.5,0,0,0,0,0,0,0,0,0,2,8,4,5,11,12,2
