Title,Authors,Corporate Authors,Book Editors,Source Title,Publication Date,Volume,Conference Title,Conference Date,Total Citations,Average per Year,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Use of Adaptive Laboratory Evolution To Discover Key Mutations Enabling Rapid Growth of <i>Escherichia coli</i> K-12 MG1655 on Glucose Minimal Medium,UTRILLA CARRERI JOSE,9,,APPLIED AND ENVIRONMENTAL MICROBIOLOGY,JAN 2015,81.0,,,173,17.3,0,0,0,0,0,0,0,3,9,18,19,28,32,16,21,17,10
Quantification and Classification of <i>E-coli</i> Proteome Utilization and Unused Protein Costs across Environments,UTRILLA CARRERI JOSE,3,,PLOS COMPUTATIONAL BIOLOGY,JUN 2016,12.0,,,83,9.22,0,0,0,0,0,0,0,0,3,9,10,9,18,11,7,12,4
Global Rebalancing of Cellular Resources by Pleiotropic Point Mutations Illustrates a Multi-scale Mechanism of Adaptive Evolution,UTRILLA CARRERI JOSE,9,,CELL SYSTEMS,APR 27 2016,2.0,,,80,8.89,0,0,0,0,0,0,0,0,1,10,11,11,10,5,10,16,6
Model-driven discovery of underground metabolic functions in <i>Escherichia coli</i>,UTRILLA CARRERI JOSE,8,,PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA,JAN 20 2015,112.0,,,68,6.8,0,0,0,0,0,0,0,5,7,11,15,5,8,3,10,4,0
Engineering and adaptive evolution of <i>Escherichia coli</i> for D-lactate fermentation reveals GatC as a xylose transporter,UTRILLA CARRERI JOSE,6,,METABOLIC ENGINEERING,SEP 2012,14.0,,,54,4.15,0,0,0,0,2,3,4,5,6,4,4,5,3,7,8,0,3
"Trade-offs between gene expression, growth and phenotypic diversity in microbial populations",UTRILLA CARRERI JOSE,5,,CURRENT OPINION IN BIOTECHNOLOGY,APR 2020,62.0,,,49,9.8,0,0,0,0,0,0,0,0,0,0,0,0,11,10,16,6,6
ATP limitation in a pyruvate formate lyase mutant of Escherichia coli MG1655 increases glycolytic flux to d-lactate,UTRILLA CARRERI JOSE,3,,JOURNAL OF INDUSTRIAL MICROBIOLOGY & BIOTECHNOLOGY,AUG 2009,36.0,,,32,2.0,0,0,2,0,4,4,2,1,5,3,1,0,3,2,5,0,0
Laboratory evolution reveals a two-dimensional rate-yield tradeoff in microbial metabolism,UTRILLA CARRERI JOSE,10,,PLOS COMPUTATIONAL BIOLOGY,JUN 2019,15.0,,,26,4.33,0,0,0,0,0,0,0,0,0,0,0,0,7,7,6,5,1
Bacterial Diversity and Population Dynamics During the Fermentation of Palm Wine From Guerrero Mexico,UTRILLA CARRERI JOSE,4,,FRONTIERS IN MICROBIOLOGY,MAR 22 2019,10.0,,,25,4.17,0,0,0,0,0,0,0,0,0,0,0,0,5,8,7,4,1
A quantitative method for proteome reallocation using minimal regulatory interventions,UTRILLA CARRERI JOSE,5,,NATURE CHEMICAL BIOLOGY,SEP 2020,16.0,,,24,4.8,0,0,0,0,0,0,0,0,0,0,0,0,2,8,6,5,3
