Title,Authors,Corporate Authors,Book Editors,Source Title,Publication Date,Volume,Conference Title,Conference Date,Total Citations,Average per Year,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
"Laccases: structure, function, and potential application in water bioremediation",VALDEZ CRUZ NORMA ADRIANA,12,,MICROBIAL CELL FACTORIES,NOV 14 2019,18.0,,,250,41.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,51,64,85,35
Production of recombinant proteins in <i>E</i>. <i>coli</i> by the heat inducible expression system based on the phage lambda pL and/or pR promoters,VALDEZ CRUZ NORMA ADRIANA,5,,MICROBIAL CELL FACTORIES,MAR 19 2010,9.0,,,127,8.47,0,0,0,0,0,0,0,0,0,4,9,9,10,8,9,7,8,5,10,10,22,10,6
Bacterial inclusion bodies are industrially exploitable amyloids,VALDEZ CRUZ NORMA ADRIANA,10,,FEMS MICROBIOLOGY REVIEWS,JAN 2019,43.0,,,73,12.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,18,14,16,13,5
"Anuroctoxin, a new scorpion toxin of the α-KTx 6 subfamily, is highly selective for Kv1.3 over IKCa1 ion channels of human T lymphocytes",VALDEZ CRUZ NORMA ADRIANA,10,,MOLECULAR PHARMACOLOGY,APR 2005,67.0,,,53,2.65,0,0,0,4,5,4,3,2,0,1,4,1,2,4,3,4,1,2,3,6,3,1,0
"Phaiodactylipin, a glycosylated heterodimeric phospholipase A<sub>2</sub> from the venom of the scorpion <i>Anuroctonus phaiodactylus</i>",VALDEZ CRUZ NORMA ADRIANA,3,,EUROPEAN JOURNAL OF BIOCHEMISTRY,APR 2004,271.0,,,53,2.52,0,0,0,2,3,3,2,3,3,1,0,4,1,3,3,5,3,3,2,3,5,0,4
A large number of novel Ergtoxin-like genes and ERG K<SUP>+</SUP>-channels blocking peptides from scorpions of the genus <i>Centruroides</i>,VALDEZ CRUZ NORMA ADRIANA,11,,FEBS LETTERS,DEC 4 2002,532.0,,,53,2.3,0,5,11,3,1,3,3,2,2,2,5,3,0,3,2,2,2,0,1,2,1,0,0
Effect of Temperature Downshift on the Transcriptomic Responses of Chinese Hamster Ovary Cells Using Recombinant Human Tissue Plasminogen Activator Production Culture,VALDEZ CRUZ NORMA ADRIANA,9,,PLOS ONE,MAR 18 2016,11.0,,,47,5.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,9,7,8,5,7,4,2
Influence of pH control in the formation of inclusion bodies during production of recombinant sphingomyelinase-D in <i>Escherichia coli</i>,VALDEZ CRUZ NORMA ADRIANA,9,,MICROBIAL CELL FACTORIES,SEP 12 2014,13.0,,,43,3.91,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,5,4,6,5,4,8,2,3
Scale-up from shake flasks to pilot-scale production of the plant growth-promoting bacterium <i>Azospirillum brasilense</i> for preparing a liquid inoculant formulation,VALDEZ CRUZ NORMA ADRIANA,10,,APPLIED MICROBIOLOGY AND BIOTECHNOLOGY,NOV 2013,97.0,,,39,3.25,0,0,0,0,0,0,0,0,0,0,0,0,1,5,3,2,5,2,3,7,5,5,1
Integrative overview of antibodies against SARS-CoV-2 and their possible applications in COVID-19 prophylaxis and treatment,VALDEZ CRUZ NORMA ADRIANA,15,,MICROBIAL CELL FACTORIES,APR 22 2021,20.0,,,34,8.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,12,10,1
