Title,Authors,Corporate Authors,Book Editors,Source Title,Publication Date,Volume,Conference Title,Conference Date,Total Citations,Average per Year,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Repetitive. based controller for a UPS inverter to compensate unbalance and harmonic distortion,VALDEZ FERNANDEZ ANDRES ALEJANDRO,4,,IEEE TRANSACTIONS ON INDUSTRIAL ELECTRONICS,FEB 2007,54.0,,,221,12.28,0,0,1,21,15,8,18,10,34,15,14,17,13,14,13,11,6,6,3,2
An adaptive control for UPS to compensate unbalance and harmonic distortion using a combined capacitor/load current sensing,VALDEZ FERNANDEZ ANDRES ALEJANDRO,5,,IEEE TRANSACTIONS ON INDUSTRIAL ELECTRONICS,APR 2007,54.0,,,118,6.56,0,0,0,20,12,7,7,2,8,5,8,8,7,11,6,6,3,4,3,1
Fixed-Reference-Frame Phase-Locked Loop for Grid Synchronization Under Unbalanced Operation,VALDEZ FERNANDEZ ANDRES ALEJANDRO,5,,IEEE TRANSACTIONS ON INDUSTRIAL ELECTRONICS,MAY 2011,58.0,,,86,6.14,0,0,0,0,0,0,2,4,9,15,8,11,8,7,7,3,5,5,1,1
A Model-Based Controller for the Cascade H-Bridge Multilevel Converter Used as a Shunt Active Filter,VALDEZ FERNANDEZ ANDRES ALEJANDRO,5,,IEEE TRANSACTIONS ON INDUSTRIAL ELECTRONICS,NOV 2013,60.0,,,73,6.08,0,0,0,0,0,0,0,0,3,9,8,9,7,6,9,10,7,3,0,2
A repetitive-based controller for the boost converter to compensate the harmonic distortion of the output voltage,VALDEZ FERNANDEZ ANDRES ALEJANDRO,4,,IEEE TRANSACTIONS ON CONTROL SYSTEMS TECHNOLOGY,MAY 2005,13.0,,,38,1.9,0,2,1,3,4,5,3,2,3,1,6,3,1,1,1,2,0,0,0,0
A model-based controller for a three-phase four-wire shunt active filter with compensation of the neutral line current,VALDEZ FERNANDEZ ANDRES ALEJANDRO,4,,IEEE TRANSACTIONS ON POWER ELECTRONICS,NOV 2007,22.0,,,34,1.89,0,0,0,1,4,2,2,2,1,3,0,1,3,6,3,2,2,1,1,0
Implementation of a 6<i>n</i> ± 1 Repetitive Controller Subject to Fractional Delays,VALDEZ FERNANDEZ ANDRES ALEJANDRO,5,,IEEE TRANSACTIONS ON INDUSTRIAL ELECTRONICS,JAN 2015,62.0,,,32,3.2,0,0,0,0,0,0,0,0,0,0,3,6,4,8,2,0,4,3,1,1
An Adaptive Controller for the Shunt Active Filter Considering a Dynamic Load and the Line Impedance,VALDEZ FERNANDEZ ANDRES ALEJANDRO,3,,IEEE TRANSACTIONS ON CONTROL SYSTEMS TECHNOLOGY,MAR 2009,17.0,,,32,2.0,0,0,0,0,0,0,1,5,9,4,3,2,2,1,2,2,0,0,1,0
Direct Power Control of a Three-Phase Rectifier Based on Positive Sequence Detection,VALDEZ FERNANDEZ ANDRES ALEJANDRO,5,,IEEE TRANSACTIONS ON INDUSTRIAL ELECTRONICS,AUG 2014,61.0,,,31,2.82,0,0,0,0,0,0,0,0,0,2,6,5,3,8,3,2,1,1,0,0
A controller for a boost converter with harmonic reduction,VALDEZ FERNANDEZ ANDRES ALEJANDRO,4,,IEEE TRANSACTIONS ON CONTROL SYSTEMS TECHNOLOGY,SEP 2004,12.0,,,24,1.14,0,0,1,1,1,0,2,2,1,3,5,1,3,3,1,0,0,0,0,0
