Title,Authors,Corporate Authors,Book Editors,Source Title,Publication Date,Volume,Conference Title,Conference Date,Total Citations,Average per Year,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Biological activities of crude plant extracts from <i>Vitex</i> <i>trifolia</i> L. (Verbenaceae),VARGAS ARISPURO IRASEMA DEL CARMEN,5,,JOURNAL OF ETHNOPHARMACOLOGY,OCT 1999,67,,,64,2.46,0,0,2,0,2,1,2,3,2,5,2,5,10,3,2,5,3,3,0,3,3,1,2,3,2
Effect of infiltrated polyamines on polygalacturonase activity and chilling injury responses in zucchini squash (<i>Cucurbita pepo</i> L.),VARGAS ARISPURO IRASEMA DEL CARMEN,4,,BIOCHEMICAL AND BIOPHYSICAL RESEARCH COMMUNICATIONS,JUL 5 2002,295,,,56,2.43,0,0,0,0,1,2,1,5,1,1,1,1,1,2,4,7,4,3,4,4,2,3,6,1,2
Angiotensin-converting enzyme inhibitory activity of milk fermented by wild and industrial <i>Lactococcus lactis</i> strains,VARGAS ARISPURO IRASEMA DEL CARMEN,6,,JOURNAL OF DAIRY SCIENCE,NOV 2010,93,,,35,2.33,0,0,0,0,0,0,0,0,0,0,0,1,2,1,1,5,3,2,7,4,3,2,0,2,2
Combination of <i>Cymbopogon citratus</i> and <i>Allium cepa</i> essential oils increased antibacterial activity in leafy vegetables,VARGAS ARISPURO IRASEMA DEL CARMEN,7,,JOURNAL OF THE SCIENCE OF FOOD AND AGRICULTURE,MAY 2017,97,,,30,3.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,5,6,6,5,1,2
Effect of temperature on enzymatic and physiological factors related to chilling injury in carambola fruit (<i>Averrhoa carambola</i> L.),VARGAS ARISPURO IRASEMA DEL CARMEN,5,,BIOCHEMICAL AND BIOPHYSICAL RESEARCH COMMUNICATIONS,OCT 5 2001,287,,,30,1.25,0,0,0,0,1,1,0,0,1,1,4,0,2,1,1,1,2,2,1,1,4,2,5,0,0
Antifungal lignans from the creosotebush (<i>Larrea tridentata</i>),VARGAS ARISPURO IRASEMA DEL CARMEN,5,,INDUSTRIAL CROPS AND PRODUCTS,SEP 2005,22,,,29,1.45,0,0,0,0,0,0,0,0,1,2,1,3,2,2,2,1,1,1,1,5,2,2,1,2,0
"Fungicidal potential of methoxylated flavones from citrus for in vitro control of <i>Colletotrichum gloeosporioides</i>, causal agent of anthracnose disease in tropical fruits",VARGAS ARISPURO IRASEMA DEL CARMEN,6,,PEST MANAGEMENT SCIENCE,NOV 2003,59,,,29,1.32,0,0,0,0,0,0,1,0,1,1,3,2,1,2,1,0,4,1,0,0,1,1,2,4,4
Quality and PR gene expression of table grapes treated with ozone and sulfur dioxide to control fungal decay,VARGAS ARISPURO IRASEMA DEL CARMEN,6,,JOURNAL OF THE SCIENCE OF FOOD AND AGRICULTURE,APR 2016,96,,,26,2.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,4,2,4,2,3,5
PCR identification of <i>Salmonella</i>:: Potential contamination sources from production and postharvest handling of cantaloupes,VARGAS ARISPURO IRASEMA DEL CARMEN,6,,JOURNAL OF FOOD PROTECTION,JUN 2006,69,,,26,1.37,0,0,0,0,0,0,0,0,2,7,1,1,1,3,5,0,3,1,0,0,0,1,0,0,1
Inhibition of Glucosyltransferase Activity and Glucan Production as an Antibiofilm Mechanism of Lemongrass Essential Oil against <i>Escherichia coli</i> O157:H7,VARGAS ARISPURO IRASEMA DEL CARMEN,6,,ANTIBIOTICS-BASEL,MAR 2020,9,,,24,4.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,6,4,5
