Title,Authors,Corporate Authors,Book Editors,Source Title,Publication Date,Volume,Conference Title,Conference Date,Total Citations,Average per Year,2016,2017,2018,2019,2020,2021,2022,2023,2024
Development of a Zwitterionic Compound Derived from β-Amino Acid as a Green Inhibitor for CO<sub>2</sub> Corrosive Environments,ZAMUDIO RIVERA LUIS SILVESTRE,8,,ACS SUSTAINABLE CHEMISTRY & ENGINEERING,NOV 2017,5.0,,,24,3.0,0,0,2,2,3,5,5,2,5
A theoretical study of crude oil emulsions stability due to supramolecular assemblies,ZAMUDIO RIVERA LUIS SILVESTRE,10,,COLLOIDS AND SURFACES A-PHYSICOCHEMICAL AND ENGINEERING ASPECTS,APR 20 2019,567.0,,,12,2.0,0,0,0,0,3,3,1,3,2
Quantum modeling design of imidazoline-based corrosion inhibitors for oil industry applications,ZAMUDIO RIVERA LUIS SILVESTRE,8,,MATERIALS TODAY COMMUNICATIONS,JUN 2021,27.0,,,7,1.75,0,0,0,0,0,0,3,3,1
Molecular modeling and experimental testing on the comparative performance of macrocyclic and linear zwitterionic surfactants for the emulsified heavy oil recovery,ZAMUDIO RIVERA LUIS SILVESTRE,12,,FUEL,FEB 1 2021,285.0,,,7,1.75,0,0,0,0,0,0,1,2,4
"Molecular modeling, synthesis and characterization of branched geminal zwitterionic liquids for enhanced oil recovery",ZAMUDIO RIVERA LUIS SILVESTRE,11,,ARABIAN JOURNAL OF CHEMISTRY,DEC 2019,12.0,,,7,1.17,0,1,1,1,0,1,1,2,0
Molecular design of high performance zwitterionic liquids for enhanced heavy-oil recovery processes,ZAMUDIO RIVERA LUIS SILVESTRE,7,,JOURNAL OF MOLECULAR GRAPHICS & MODELLING,MAR 2018,80.0,,,7,1.0,0,0,1,1,0,0,1,2,2
"Foaming supramolecular surfactants for gas mobility control in naturally fractured carbonate reservoirs at high temperature, salinity, and hardness",ZAMUDIO RIVERA LUIS SILVESTRE,15,,PETROLEUM SCIENCE,DEC 2022,19.0,,,6,2.0,0,0,0,0,0,0,0,6,0
Nonquilibrium and Equilibrium Stationary States of Zwitterionic Surfactant Dynamic Adsorption on Limestone Cores at Oil-Reservoir Conditions,ZAMUDIO RIVERA LUIS SILVESTRE,8,,INDUSTRIAL & ENGINEERING CHEMISTRY RESEARCH,FEB 14 2018,57.0,,,6,0.86,0,0,0,2,0,3,0,1,0
Theoretical insight and experimental elucidation of desferrioxamine B from<i>Bacillus</i>sp. AS7 as a green corrosion inhibitor,ZAMUDIO RIVERA LUIS SILVESTRE,5,,CORROSION ENGINEERING SCIENCE AND TECHNOLOGY,JAN 2 2021,56.0,,,5,1.0,0,0,0,0,0,2,1,2,0
Growth inhibition in calcium sulfate crystal using a copolymer in oil fields: theoretical study and experimental evaluations,ZAMUDIO RIVERA LUIS SILVESTRE,8,,IRANIAN POLYMER JOURNAL,DEC 2018,27.0,,,4,0.57,0,0,0,0,2,0,1,1,0
Application of Multifunctional Agents During Enhanced Oil Recovery,ZAMUDIO RIVERA LUIS SILVESTRE,3,"RomeroZeron, L",CHEMICAL ENHANCED OIL RECOVERY (CEOR): A PRACTICAL OVERVIEW,2016,,,,4,0.44,0,1,0,0,1,0,1,1,0
Static adsorption and mathematical model applied in EOR using a supramolecular surfactant,ZAMUDIO RIVERA LUIS SILVESTRE,6,,JOURNAL OF PETROLEUM SCIENCE AND ENGINEERING,MAR 2021,198.0,,,3,0.75,0,0,0,0,0,0,1,2,0
Development through computational design of a new terpolymer with anti-scale properties applied to the oil production assurance process,ZAMUDIO RIVERA LUIS SILVESTRE,8,,FUEL,DEC 15 2020,282.0,,,3,0.6,0,0,0,0,0,0,2,1,0
Quantum molecular design and experimental testing of a high-performance zwitterionic corrosion inhibitor for oxidized iron surfaces,ZAMUDIO RIVERA LUIS SILVESTRE,8,,JOURNAL OF MOLECULAR GRAPHICS & MODELLING,DEC 2019,93.0,,,3,0.5,0,0,0,0,0,2,0,0,1
Quantum molecular modeling of oxazolidines as detergent-dispersant additives for gasoline: A valuable technological adviser,ZAMUDIO RIVERA LUIS SILVESTRE,9,,FUEL,MAY 1 2022,315.0,,,2,0.67,0,0,0,0,0,0,1,1,0
Density Functional Theory and UPLC/MS/ESI<SUP>+</SUP> studies of the zwitterionic surfactant-Na<SUP>+</SUP> pair formation,ZAMUDIO RIVERA LUIS SILVESTRE,6,,JOURNAL OF MOLECULAR GRAPHICS & MODELLING,SEP 2019,91.0,,,2,0.33,0,0,0,0,0,2,0,0,0
"Aromatic Polyisobutylene Succinimides as Viscosity Reducers with Asphaltene Dispersion Capability for Heavy and Extra-Heavy Crude Oils (vol 27, pg 1994, 2013)",ZAMUDIO RIVERA LUIS SILVESTRE,3,,ENERGY & FUELS,JAN 2016,30.0,,,2,0.22,0,0,0,0,0,1,1,0,0
Design Via Quantum Chemistry and Experimental Realization of Antiscaling Chemicals Derived from Carboxylic Acids and Sulfonates for High-Salinity and High-Hardness Oil Reservoirs,ZAMUDIO RIVERA LUIS SILVESTRE,9,,INDUSTRIAL & ENGINEERING CHEMISTRY RESEARCH,FEB 2 2024,63.0,,,1,1.0,0,0,0,0,0,0,0,0,1
Greener process to prepare and scale-up zwitterionic macro cyclic dihydroxy-aza-crown ether and their corresponding supramolecular pairs to enhanced oil recovery application,ZAMUDIO RIVERA LUIS SILVESTRE,7,,JOURNAL OF CLEANER PRODUCTION,SEP 25 2023,420.0,,,1,0.5,0,0,0,0,0,0,0,0,1
Static and dynamic adsorption of supramolecular surfactant for oil recovery in high temperature and salinity conditions,ZAMUDIO RIVERA LUIS SILVESTRE,10,,JOURNAL OF SURFACTANTS AND DETERGENTS,NOV 2023,26.0,,,1,0.5,0,0,0,0,0,0,0,0,1
Solid and liquid supramolecular complexes by solid-solid mechanosynthesis,ZAMUDIO RIVERA LUIS SILVESTRE,7,,ARABIAN JOURNAL OF CHEMISTRY,DEC 2019,12.0,,,1,0.17,0,0,0,0,0,0,0,1,0
Green-Inspired Synthesis and Industrial Applications of Branched Geminal Zwitterionic Liquids,ZAMUDIO RIVERA LUIS SILVESTRE,8,,ACS SUSTAINABLE CHEMISTRY & ENGINEERING,AUG 2017,5.0,,,1,0.13,0,0,0,0,0,1,0,0,0
"Supramolecular pairing among heteroaromatic compounds and the cationic surfactant C<sub>12</sub>TAC (vol 149, pg 174, 2015)",ZAMUDIO RIVERA LUIS SILVESTRE,10,,FUEL,JAN 15 2016,164.0,,,1,0.11,1,0,0,0,0,0,0,0,0
TEST & FIRST RESULTS OF AN FOR WETTABILITY ALTERATION FOAM INJECTION TEST IN A NATURALLY FRACTURED RESERVOIR,ZAMUDIO RIVERA LUIS SILVESTRE,6,,"PROCEEDINGS OF THE ASME 34TH INTERNATIONAL CONFERENCE ON OCEAN, OFFSHORE AND ARCTIC ENGINEERING, 2015, VOL 10",2015,,"34th ASME International Conference on Ocean, Offshore and Arctic Engineering (OMAE2015)","MAY 31-JUN 05, 2015",1,0.1,0,0,0,0,0,0,0,1,0
Development and Application of New Multifunctional Foaming Agents to Enhance Production in Oil Wells,ZAMUDIO RIVERA LUIS SILVESTRE,12,,SPE JOURNAL,DEC 2023,28.0,,,0,0.0,0,0,0,0,0,0,0,0,0
Quantum Design and Synthesis of a Gasoline Marker Based on a Phenol-Functionalized Supramolecular Quaternary-Salt Complex,ZAMUDIO RIVERA LUIS SILVESTRE,9,,CHEMISTRYSELECT,SEP 26 2023,8.0,,,0,0.0,0,0,0,0,0,0,0,0,0
"Theoretical and experimental insights on the true impact of C<sub>12</sub>TAC cationic surfactant in enhanced oil recovery for heavy oil carbonate reservoirs (vol 455, pg 76, 2014)",ZAMUDIO RIVERA LUIS SILVESTRE,7,,COLLOIDS AND SURFACES A-PHYSICOCHEMICAL AND ENGINEERING ASPECTS,MAR 20 2016,493.0,,,0,0.0,0,0,0,0,0,0,0,0,0
