Title,Authors,Corporate Authors,Book Editors,Source Title,Publication Date,Volume,Conference Title,Conference Date,Total Citations,Average per Year,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Aerobic biodegradation of sludge with high hydrocarbon content generated by a Mexican natural gas processing facility,ZAPATA PEÑASCO NORMA ICOQUIH,5,,JOURNAL OF ENVIRONMENTAL MANAGEMENT,MAR 2012,95.0,,,31,2.38,0,1,0,1,5,3,2,6,3,4,2,3,1
Microcosm assays and Taguchi experimental design for treatment of oil sludge containing high concentration of hydrocarbons,ZAPATA PEÑASCO NORMA ICOQUIH,7,,BIORESOURCE TECHNOLOGY,DEC 2009,100.0,,,29,1.81,3,3,1,2,2,2,1,2,3,7,2,1,0
"MEBS, a software platform to evaluate large (meta)genomic collections according to their metabolic machinery: unraveling the sulfur cycle",ZAPATA PEÑASCO NORMA ICOQUIH,6,,GIGASCIENCE,OCT 23 2017,6.0,,,28,3.5,0,0,0,0,0,0,6,3,0,7,3,6,3
Evaluation of the effect of nutrient ratios on biosurfactant production by <i>Serratia marcescens</i> using a Box-Behnken design,ZAPATA PEÑASCO NORMA ICOQUIH,7,,COLLOIDS AND SURFACES B-BIOINTERFACES,SEP 1 2011,86.0,,,27,1.93,5,4,1,1,2,2,3,3,2,2,0,0,2
Coreflood assay using extremophile microorganisms for recovery of heavy oil in Mexican oil fields,ZAPATA PEÑASCO NORMA ICOQUIH,6,,JOURNAL OF BIOSCIENCE AND BIOENGINEERING,OCT 2012,114.0,,,26,2.0,0,2,1,4,3,2,3,3,1,4,0,1,2
Evaluation of indigenous anaerobic microorganisms from Mexican carbonate reservoirs with potential MEOR application,ZAPATA PEÑASCO NORMA ICOQUIH,7,,JOURNAL OF PETROLEUM SCIENCE AND ENGINEERING,JAN 2012,81.0,,,25,1.92,1,1,2,5,4,3,1,3,0,2,3,0,0
"Analysis of the Physicochemical, Mechanical, and Electrochemical Parameters and Their Impact on the Internal and External SCC of Carbon Steel Pipelines",ZAPATA PEÑASCO NORMA ICOQUIH,6,,MATERIALS,DEC 2020,13.0,,,13,2.6,0,0,0,0,0,0,0,0,0,3,3,4,3
Bisulfite reductase and nitrogenase genes retrieved from biocorrosive bacteria in saline produced waters of offshore oil recovery facilities,ZAPATA PEÑASCO NORMA ICOQUIH,5,,INTERNATIONAL BIODETERIORATION & BIODEGRADATION,JUL 2013,81.0,3rd International Symposium on Applied Microbiology and Molecular Biology in Oil Systems (ISMOS-3),"JUN 13-15, 2011",11,0.92,0,0,1,0,2,0,1,3,1,2,1,0,0
Evaluation of haloalkaliphilic sulfur-oxidizing microorganisms with potential application in the effluent treatment of the petroleum industry,ZAPATA PEÑASCO NORMA ICOQUIH,7,,BIODEGRADATION,FEB 2011,22.0,,,11,0.79,1,0,1,1,0,2,0,0,1,0,1,4,0
Biofouling and biocorrosion by microbiota from a marine oil pipeline: A metagenomic and proteomic approach,ZAPATA PEÑASCO NORMA ICOQUIH,10,,JOURNAL OF ENVIRONMENTAL CHEMICAL ENGINEERING,APR 2023,11.0,,,8,4.0,0,0,0,0,0,0,0,0,0,0,0,6,2
Bisulfite reductase gene expression of thermophilic sulphate-reducing bacteria from saline connate water of oil reservoirs with high temperature,ZAPATA PEÑASCO NORMA ICOQUIH,5,,INTERNATIONAL BIODETERIORATION & BIODEGRADATION,MAR 2016,108.0,,,7,0.78,0,0,0,0,0,1,0,2,2,1,0,1,0
Effect of porous media types on oil recovery by indigenous microorganisms from a Mexican oil field,ZAPATA PEÑASCO NORMA ICOQUIH,5,,JOURNAL OF CHEMICAL TECHNOLOGY AND BIOTECHNOLOGY,JUN 2013,88.0,,,5,0.42,0,0,1,0,1,0,0,0,2,1,0,0,0
The ZrC and Ti-Ni nanostructures in epoxy coatings: An anticorrosion and tribological study,ZAPATA PEÑASCO NORMA ICOQUIH,8,,SURFACE & COATINGS TECHNOLOGY,SEP 25 2023,469.0,,,4,2.0,0,0,0,0,0,0,0,0,0,0,0,1,3
Influence of roughness on the early corrosion of API steels by atomic force microscopy (AFM): A real-time assessment,ZAPATA PEÑASCO NORMA ICOQUIH,6,,MATERIALS TODAY COMMUNICATIONS,AUG 2023,36.0,,,4,2.0,0,0,0,0,0,0,0,0,0,0,0,0,4
Effect of sulphur species on the hydrocarbon biodegradation of oil sludge generated by a gas processing facility,ZAPATA PEÑASCO NORMA ICOQUIH,5,,INTERNATIONAL JOURNAL OF ENVIRONMENTAL SCIENCE AND TECHNOLOGY,MAY 2013,10.0,,,4,0.33,0,0,0,0,2,0,0,0,1,0,1,0,0
Relative performance of several surfactants used for heavy crude oil emulsions as studied by AFM and force spectroscopy,ZAPATA PEÑASCO NORMA ICOQUIH,6,,JOURNAL OF PETROLEUM SCIENCE AND ENGINEERING,NOV 2015,135.0,,,3,0.3,0,0,0,0,0,2,0,0,0,0,0,1,0
