Title,Authors,Corporate Authors,Book Editors,Source Title,Publication Date,Volume,Conference Title,Conference Date,Total Citations,Average per Year,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Lignin in storage and renewable energy applications: A review,ZARAGOZA CONTRERAS ERASTO ARMANDO,6,,JOURNAL OF ENERGY CHEMISTRY,SEP 2018,27,,,172,24.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,13,25,44,31,35,20
Synthesis of sulfonated graphene/polyaniline composites with improved electroactivity,ZARAGOZA CONTRERAS ERASTO ARMANDO,3,,CARBON,MAY 2012,50,,,94,7.23,0,0,0,0,0,0,0,0,0,0,2,15,21,12,4,12,10,4,4,5,3,0,2
Blue agave fiber esterification for the reinforcement of thermoplastic composites,ZARAGOZA CONTRERAS ERASTO ARMANDO,6,,CARBOHYDRATE POLYMERS,JAN 22 2007,67,,,87,4.83,0,0,0,0,0,0,2,1,4,3,3,12,4,8,9,3,9,9,7,9,0,2,2
Elucidating the graft copolymerization of methyl methacrylate onto wood-fiber,ZARAGOZA CONTRERAS ERASTO ARMANDO,3,,CARBOHYDRATE POLYMERS,JAN 22 2004,55,,,46,2.19,0,0,0,1,6,4,4,6,4,3,2,5,1,2,1,0,0,1,2,2,0,0,2
Progress of Polyaniline Glucose Sensors for Diabetes Mellitus Management Utilizing Enzymatic and Non-Enzymatic Detection,ZARAGOZA CONTRERAS ERASTO ARMANDO,5,,BIOSENSORS-BASEL,MAR 2022,12,,,36,12.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,14,7
Fast wood fiber esterification.: I.: Reaction with oxalic acid and cetyl alcohol,ZARAGOZA CONTRERAS ERASTO ARMANDO,6,,CARBOHYDRATE POLYMERS,JAN 5 2008,71,,,35,2.06,0,0,0,0,0,0,0,3,4,2,3,3,2,2,3,1,3,2,2,0,3,2,0
Colorimetric sensor based on a poly(<i>ortho</i>-phenylenediamine-<i>co</i>-aniline) copolymer for the monitoring of tilapia (<i>Orechromis</i> <i>niloticus</i>) freshness,ZARAGOZA CONTRERAS ERASTO ARMANDO,3,,SENSORS AND ACTUATORS B-CHEMICAL,APR 15 2018,259,,,32,4.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,7,7,5,3,2
Nanosized polypyrrole affected by surfactant agitation for emulsion polymerization,ZARAGOZA CONTRERAS ERASTO ARMANDO,4,,POLYMER BULLETIN,APR 2012,68,,,28,2.15,0,0,0,0,0,0,0,0,0,0,0,3,5,0,2,0,2,1,3,1,6,2,3
Evidence of multi-walled carbon nanotube fragmentation induced by sonication during nanotube encapsulation via bulk-suspension polymerization,ZARAGOZA CONTRERAS ERASTO ARMANDO,7,,MICRON,JUL-AUG 2009,40,,,28,1.75,0,0,0,0,0,0,0,1,2,3,1,0,2,0,5,6,2,1,3,1,1,0,0
Poly(<i>ortho</i>-phenylenediamine-<i>co</i>-aniline) based copolymer with improved capacitance,ZARAGOZA CONTRERAS ERASTO ARMANDO,4,,JOURNAL OF POWER SOURCES,OCT 31 2017,366,,,26,3.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,4,4,2,3,1
