Title,Authors,Corporate Authors,Book Editors,Source Title,Publication Date,Volume,Conference Title,Conference Date,Total Citations,Average per Year,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Synthesis and characterization of Ti-HMS and CoMo/Ti-HMS oxide materials with varying Ti content,ZEPEDA PARTIDA TRINO ARMANDO,7,,CHEMISTRY OF MATERIALS,AUG 9 2005,17,,,88,4.4,5,7,12,15,7,5,5,3,3,2,4,4,7,0,3,3,1,1,1
Physicochemical characterization of nopal pads (<i>Opuntia ficus indica</i>) and dry vacuum nopal powders as a function of the maturation,ZEPEDA PARTIDA TRINO ARMANDO,11,,PLANT FOODS FOR HUMAN NUTRITION,SEP 2007,62,,,79,4.39,0,0,1,1,4,5,5,3,4,9,3,5,1,7,8,9,5,4,5
Insight into the Deactivation of Au/CeO<sub>2</sub> Catalysts Studied by In Situ Spectroscopy during the CO-PROX Reaction,ZEPEDA PARTIDA TRINO ARMANDO,5,,ACS CATALYSIS,JUL 2015,5,,,77,7.7,0,0,0,0,0,0,0,0,0,3,7,8,7,8,11,13,9,7,4
Competitive HDS and HDN reactions over NiMoS/HMS-Al catalysts: Diminishing of the inhibition of HDS reaction by support modification with P,ZEPEDA PARTIDA TRINO ARMANDO,7,,APPLIED CATALYSIS B-ENVIRONMENTAL,JAN 2016,180,,,63,7.0,0,0,0,0,0,0,0,0,0,0,1,9,4,12,8,10,6,12,1
Effect of Ti on the catalytic properties of CoMo/Ti(<i>x</i>)-HMS catalysts in the reaction of hydrodesulfurization of 4-ethyl-6-methyl dibenzothiophene,ZEPEDA PARTIDA TRINO ARMANDO,4,,JOURNAL OF CATALYSIS,SEP 10 2006,242,,,61,3.21,0,3,7,9,2,6,3,2,5,4,3,4,6,0,3,3,1,0,0
Effect of the divalent metal and the activation temperature of NiMoW and CoMoW on the dibenzothiophene hydrodesulfurization reaction,ZEPEDA PARTIDA TRINO ARMANDO,5,,APPLIED CATALYSIS B-ENVIRONMENTAL,APR 27 2014,148,,,59,5.36,0,0,0,0,0,0,0,0,1,8,7,6,8,9,5,6,4,3,2
Removal of refractory S-containing compounds from liquid fuels on novel bifunctional CoMo/HMS catalysts modified with Ti,ZEPEDA PARTIDA TRINO ARMANDO,4,,APPLIED CATALYSIS B-ENVIRONMENTAL,FEB 15 2007,71,,,58,3.22,0,1,9,9,1,8,2,1,4,5,1,4,7,0,2,3,1,0,0
Hydrodesulfurization of dibenzothiophene over CoMo/HMS and CoMo/Ti-HMS catalysts,ZEPEDA PARTIDA TRINO ARMANDO,7,,CATALYSIS COMMUNICATIONS,JAN 2006,7,,,57,3.0,3,4,8,7,2,2,4,3,3,4,4,3,2,1,1,3,1,2,0
Characterization and HDS performance of sulfided CoMoW catalysts supported on mesoporous Al-SBA-16 substrates,ZEPEDA PARTIDA TRINO ARMANDO,6,,FUEL,JUN 1 2015,149,International-Mexican Congress on Chemical Reaction Engineering (IMCCRE 2014),"JUN 07-13, 2014",54,5.4,0,0,0,0,0,0,0,0,0,0,7,5,7,6,7,9,7,2,4
Effect of gallium loading on the hydrodesulfurization activity of unsupported Ga<sub>2</sub>S<sub>3</sub>/WS<sub>2</sub> catalysts,ZEPEDA PARTIDA TRINO ARMANDO,5,,APPLIED CATALYSIS B-ENVIRONMENTAL,JAN 12 2012,111,,,54,4.15,0,0,0,0,0,0,3,4,1,5,7,2,4,6,7,4,4,5,2
"Influence of the acidity of nanostructured CoMo/P/Ti-HMS catalysts on the HDS of 4,6-DMDBT reaction pathways",ZEPEDA PARTIDA TRINO ARMANDO,4,,APPLIED CATALYSIS B-ENVIRONMENTAL,APR 15 2008,80,,,54,3.18,0,0,2,5,4,3,3,2,2,4,2,5,5,5,3,3,3,2,1
"Nanocrystalline gold supported on Fe-, Ti- and Ce-modified hexagonal mesoporous silica as a catalyst for the aerobic oxidative esterification of benzyl alcohol",ZEPEDA PARTIDA TRINO ARMANDO,7,,APPLIED CATALYSIS A-GENERAL,APR 30 2011,397,,,52,3.71,0,0,0,0,0,2,7,7,9,6,1,5,2,5,2,2,0,1,3
Impact of Al and Ti ions on the dispersion and performance of supported NiMo(W)/SBA-15 catalysts in the HDS and HYD reactions,ZEPEDA PARTIDA TRINO ARMANDO,2,,CATALYSIS TODAY,MAY 15 2009,143,International Symposium on Catalysis for Clean Energy and Sustainable Chemistry,"JUN 17-20, 2008",50,3.13,0,0,0,1,2,5,5,5,3,3,5,4,6,2,1,3,3,2,0
Effect of Al and Ti content in HMS material on the catalytic activity of NiMo and CoMo hydrotreating catalysts in the HDS of DBT,ZEPEDA PARTIDA TRINO ARMANDO,6,,MICROPOROUS AND MESOPOROUS MATERIALS,APR 15 2008,111,,,48,2.82,0,0,3,8,2,2,4,2,5,2,6,2,4,2,3,1,2,0,0
CO oxidation on Au nanoparticles supported on wormhole HMS material: Effect of support modification with CeO<sub>2</sub>,ZEPEDA PARTIDA TRINO ARMANDO,4,,APPLIED CATALYSIS B-ENVIRONMENTAL,JUL 3 2009,89,,,45,2.81,0,0,0,0,8,8,6,4,2,3,3,1,2,2,2,2,2,0,0
Alternative bio-reduction synthesis method for the preparation of Au(AgAu)/SiO<sub>2</sub>-Al<sub>2</sub>O<sub>3</sub> catalysts: Oxidation and hydrogenation of CO,ZEPEDA PARTIDA TRINO ARMANDO,6,,APPLIED CATALYSIS B-ENVIRONMENTAL,JUL 25 2009,90,,,44,2.75,0,0,0,0,0,6,4,6,7,5,3,1,2,2,0,3,1,3,1
"Enhancement of biphenyl hydrogenation over gold catalysts supported on Fe-, Ce- and Ti-modified mesoporous silica (HMS)",ZEPEDA PARTIDA TRINO ARMANDO,5,,JOURNAL OF CATALYSIS,OCT 1 2009,267,,,40,2.5,0,0,0,0,3,8,6,6,3,2,2,2,2,1,1,1,1,1,1
Comparison and performance of different sulphided Ti-loaded mesostructured silica-supported CoMo catalysts in deep HDS,ZEPEDA PARTIDA TRINO ARMANDO,1,,APPLIED CATALYSIS A-GENERAL,SEP 15 2008,347,,,40,2.35,0,0,0,4,2,3,4,2,1,2,2,3,2,4,3,3,2,1,2
